epoch 5, minibatch 244/244, test error of best model 42.200000 %
epoch 10, minibatch 244/244, test error of best model 42.200000 %
epoch 15, minibatch 244/244, test error of best model 42.200000 %
epoch 20, minibatch 244/244, test error of best model 42.200000 %
epoch 25, minibatch 244/244, test error of best model 42.200000 %
epoch 30, minibatch 244/244, test error of best model 42.200000 %
epoch 35, minibatch 244/244, test error of best model 42.200000 %
epoch 40, minibatch 244/244, test error of best model 42.566667 %
epoch 45, minibatch 244/244, test error of best model 49.433333 %
epoch 50, minibatch 244/244, test error of best model 56.100000 %
epoch 55, minibatch 244/244, test error of best model 59.733333 %
epoch 60, minibatch 244/244, test error of best model 60.733333 %
epoch 65, minibatch 244/244, test error of best model 61.433333 %
epoch 70, minibatch 244/244, test error of best model 62.700000 %
epoch 75, minibatch 244/244, test error of best model 64.400000 %
epoch 80, minibatch 244/244, test error of best model 66.300000 %
epoch 85, minibatch 244/244, test error of best model 67.733333 %
epoch 90, minibatch 244/244, test error of best model 69.633333 %
epoch 95, minibatch 244/244, test error of best model 70.800000 %
epoch 100, minibatch 244/244, test error of best model 72.000000 %
epoch 105, minibatch 244/244, test error of best model 72.433333 %
epoch 110, minibatch 244/244, test error of best model 73.000000 %
epoch 115, minibatch 244/244, test error of best model 73.433333 %
epoch 120, minibatch 244/244, test error of best model 73.866667 %
epoch 125, minibatch 244/244, test error of best model 74.033333 %
epoch 130, minibatch 244/244, test error of best model 74.200000 %
epoch 135, minibatch 244/244, test error of best model 74.333333 %
epoch 140, minibatch 244/244, test error of best model 74.600000 %
epoch 145, minibatch 244/244, test error of best model 74.866667 %
epoch 150, minibatch 244/244, test error of best model 75.066667 %
epoch 155, minibatch 244/244, test error of best model 75.300000 %
epoch 160, minibatch 244/244, test error of best model 75.466667 %
epoch 165, minibatch 244/244, test error of best model 75.766667 %
epoch 170, minibatch 244/244, test error of best model 75.866667 %
epoch 175, minibatch 244/244, test error of best model 76.100000 %
epoch 180, minibatch 244/244, test error of best model 76.133333 %
epoch 185, minibatch 244/244, test error of best model 76.133333 %
epoch 190, minibatch 244/244, test error of best model 76.500000 %
epoch 195, minibatch 244/244, test error of best model 76.666667 %
epoch 200, minibatch 244/244, test error of best model 76.700000 %
epoch 205, minibatch 244/244, test error of best model 76.866667 %
epoch 210, minibatch 244/244, test error of best model 76.833333 %
epoch 215, minibatch 244/244, test error of best model 77.100000 %
epoch 220, minibatch 244/244, test error of best model 77.000000 %
epoch 225, minibatch 244/244, test error of best model 77.100000 %
epoch 230, minibatch 244/244, test error of best model 77.400000 %
epoch 235, minibatch 244/244, test error of best model 77.566667 %
epoch 240, minibatch 244/244, test error of best model 77.533333 %
epoch 245, minibatch 244/244, test error of best model 77.600000 %
epoch 250, minibatch 244/244, test error of best model 77.633333 %
epoch 255, minibatch 244/244, test error of best model 77.733333 %
epoch 260, minibatch 244/244, test error of best model 77.833333 %
epoch 265, minibatch 244/244, test error of best model 77.900000 %
epoch 270, minibatch 244/244, test error of best model 78.033333 %
epoch 275, minibatch 244/244, test error of best model 78.166667 %
epoch 280, minibatch 244/244, test error of best model 78.233333 %
epoch 285, minibatch 244/244, test error of best model 78.200000 %
epoch 290, minibatch 244/244, test error of best model 78.400000 %
epoch 295, minibatch 244/244, test error of best model 78.500000 %
epoch 300, minibatch 244/244, test error of best model 78.600000 %
epoch 305, minibatch 244/244, test error of best model 78.733333 %
epoch 310, minibatch 244/244, test error of best model 78.666667 %
epoch 315, minibatch 244/244, test error of best model 78.566667 %
epoch 320, minibatch 244/244, test error of best model 78.666667 %
epoch 325, minibatch 244/244, test error of best model 78.666667 %
epoch 330, minibatch 244/244, test error of best model 78.733333 %
epoch 335, minibatch 244/244, test error of best model 78.733333 %
epoch 340, minibatch 244/244, test error of best model 78.900000 %
epoch 345, minibatch 244/244, test error of best model 78.800000 %
epoch 350, minibatch 244/244, test error of best model 78.800000 %
epoch 355, minibatch 244/244, test error of best model 78.800000 %
epoch 360, minibatch 244/244, test error of best model 78.900000 %
epoch 365, minibatch 244/244, test error of best model 78.866667 %
epoch 370, minibatch 244/244, test error of best model 78.800000 %
epoch 375, minibatch 244/244, test error of best model 78.766667 %
epoch 380, minibatch 244/244, test error of best model 78.800000 %
epoch 385, minibatch 244/244, test error of best model 78.866667 %
epoch 390, minibatch 244/244, test error of best model 78.866667 %
epoch 395, minibatch 244/244, test error of best model 78.833333 %
epoch 400, minibatch 244/244, test error of best model 78.800000 %
epoch 405, minibatch 244/244, test error of best model 78.900000 %
epoch 410, minibatch 244/244, test error of best model 78.866667 %
epoch 415, minibatch 244/244, test error of best model 79.000000 %
epoch 420, minibatch 244/244, test error of best model 79.000000 %
epoch 425, minibatch 244/244, test error of best model 79.066667 %
epoch 430, minibatch 244/244, test error of best model 79.100000 %
epoch 435, minibatch 244/244, test error of best model 79.000000 %
epoch 440, minibatch 244/244, test error of best model 79.033333 %
epoch 445, minibatch 244/244, test error of best model 79.033333 %
epoch 450, minibatch 244/244, test error of best model 79.066667 %
epoch 455, minibatch 244/244, test error of best model 79.066667 %
epoch 460, minibatch 244/244, test error of best model 79.100000 %
epoch 465, minibatch 244/244, test error of best model 79.066667 %
epoch 470, minibatch 244/244, test error of best model 79.066667 %
epoch 475, minibatch 244/244, test error of best model 79.100000 %
epoch 480, minibatch 244/244, test error of best model 79.100000 %
epoch 485, minibatch 244/244, test error of best model 79.000000 %
epoch 490, minibatch 244/244, test error of best model 79.000000 %
epoch 495, minibatch 244/244, test error of best model 79.000000 %
epoch 500, minibatch 244/244, test error of best model 79.000000 %
epoch 505, minibatch 244/244, test error of best model 78.933333 %
epoch 510, minibatch 244/244, test error of best model 78.966667 %
epoch 515, minibatch 244/244, test error of best model 78.933333 %
epoch 520, minibatch 244/244, test error of best model 78.833333 %
epoch 525, minibatch 244/244, test error of best model 78.833333 %
epoch 530, minibatch 244/244, test error of best model 78.833333 %
epoch 535, minibatch 244/244, test error of best model 78.766667 %
epoch 540, minibatch 244/244, test error of best model 78.833333 %
epoch 545, minibatch 244/244, test error of best model 78.833333 %
epoch 550, minibatch 244/244, test error of best model 78.900000 %
epoch 555, minibatch 244/244, test error of best model 78.866667 %
epoch 560, minibatch 244/244, test error of best model 78.900000 %
epoch 565, minibatch 244/244, test error of best model 78.933333 %
epoch 570, minibatch 244/244, test error of best model 79.000000 %
epoch 575, minibatch 244/244, test error of best model 79.033333 %
epoch 580, minibatch 244/244, test error of best model 79.033333 %
epoch 585, minibatch 244/244, test error of best model 79.033333 %
