epoch 5, minibatch 244/244, test error of best model 41.133333 %
epoch 10, minibatch 244/244, test error of best model 41.133333 %
epoch 15, minibatch 244/244, test error of best model 41.133333 %
epoch 20, minibatch 244/244, test error of best model 41.133333 %
epoch 25, minibatch 244/244, test error of best model 41.133333 %
epoch 30, minibatch 244/244, test error of best model 41.133333 %
epoch 35, minibatch 244/244, test error of best model 41.133333 %
epoch 40, minibatch 244/244, test error of best model 41.766667 %
epoch 45, minibatch 244/244, test error of best model 47.900000 %
epoch 50, minibatch 244/244, test error of best model 54.766667 %
epoch 55, minibatch 244/244, test error of best model 58.033333 %
epoch 60, minibatch 244/244, test error of best model 59.500000 %
epoch 65, minibatch 244/244, test error of best model 60.233333 %
epoch 70, minibatch 244/244, test error of best model 60.866667 %
epoch 75, minibatch 244/244, test error of best model 62.233333 %
epoch 80, minibatch 244/244, test error of best model 64.233333 %
epoch 85, minibatch 244/244, test error of best model 65.900000 %
epoch 90, minibatch 244/244, test error of best model 67.233333 %
epoch 95, minibatch 244/244, test error of best model 68.333333 %
epoch 100, minibatch 244/244, test error of best model 69.200000 %
epoch 105, minibatch 244/244, test error of best model 69.500000 %
epoch 110, minibatch 244/244, test error of best model 70.033333 %
epoch 115, minibatch 244/244, test error of best model 70.700000 %
epoch 120, minibatch 244/244, test error of best model 71.133333 %
epoch 125, minibatch 244/244, test error of best model 71.566667 %
epoch 130, minibatch 244/244, test error of best model 71.766667 %
epoch 135, minibatch 244/244, test error of best model 71.900000 %
epoch 140, minibatch 244/244, test error of best model 71.933333 %
epoch 145, minibatch 244/244, test error of best model 72.200000 %
epoch 150, minibatch 244/244, test error of best model 72.566667 %
epoch 155, minibatch 244/244, test error of best model 72.800000 %
epoch 160, minibatch 244/244, test error of best model 73.000000 %
epoch 165, minibatch 244/244, test error of best model 73.200000 %
epoch 170, minibatch 244/244, test error of best model 73.400000 %
epoch 175, minibatch 244/244, test error of best model 73.600000 %
epoch 180, minibatch 244/244, test error of best model 74.100000 %
epoch 185, minibatch 244/244, test error of best model 74.400000 %
epoch 190, minibatch 244/244, test error of best model 74.633333 %
epoch 195, minibatch 244/244, test error of best model 74.833333 %
epoch 200, minibatch 244/244, test error of best model 75.366667 %
epoch 205, minibatch 244/244, test error of best model 75.566667 %
epoch 210, minibatch 244/244, test error of best model 75.833333 %
epoch 215, minibatch 244/244, test error of best model 76.066667 %
epoch 220, minibatch 244/244, test error of best model 76.300000 %
epoch 225, minibatch 244/244, test error of best model 76.566667 %
epoch 230, minibatch 244/244, test error of best model 76.566667 %
epoch 235, minibatch 244/244, test error of best model 76.800000 %
epoch 240, minibatch 244/244, test error of best model 77.033333 %
epoch 245, minibatch 244/244, test error of best model 77.033333 %
epoch 250, minibatch 244/244, test error of best model 77.366667 %
epoch 255, minibatch 244/244, test error of best model 77.366667 %
epoch 260, minibatch 244/244, test error of best model 77.500000 %
epoch 265, minibatch 244/244, test error of best model 77.566667 %
epoch 270, minibatch 244/244, test error of best model 77.700000 %
epoch 275, minibatch 244/244, test error of best model 77.800000 %
epoch 280, minibatch 244/244, test error of best model 77.866667 %
epoch 285, minibatch 244/244, test error of best model 77.900000 %
epoch 290, minibatch 244/244, test error of best model 78.066667 %
epoch 295, minibatch 244/244, test error of best model 78.300000 %
epoch 300, minibatch 244/244, test error of best model 78.300000 %
epoch 305, minibatch 244/244, test error of best model 78.500000 %
epoch 310, minibatch 244/244, test error of best model 78.600000 %
epoch 315, minibatch 244/244, test error of best model 78.600000 %
epoch 320, minibatch 244/244, test error of best model 78.766667 %
epoch 325, minibatch 244/244, test error of best model 78.766667 %
epoch 330, minibatch 244/244, test error of best model 78.866667 %
epoch 335, minibatch 244/244, test error of best model 78.966667 %
epoch 340, minibatch 244/244, test error of best model 79.066667 %
epoch 345, minibatch 244/244, test error of best model 79.066667 %
epoch 350, minibatch 244/244, test error of best model 79.000000 %
epoch 355, minibatch 244/244, test error of best model 79.066667 %
epoch 360, minibatch 244/244, test error of best model 79.100000 %
epoch 365, minibatch 244/244, test error of best model 79.166667 %
epoch 370, minibatch 244/244, test error of best model 79.266667 %
epoch 375, minibatch 244/244, test error of best model 79.500000 %
epoch 380, minibatch 244/244, test error of best model 79.433333 %
epoch 385, minibatch 244/244, test error of best model 79.566667 %
epoch 390, minibatch 244/244, test error of best model 79.500000 %
epoch 395, minibatch 244/244, test error of best model 79.466667 %
epoch 400, minibatch 244/244, test error of best model 79.533333 %
epoch 405, minibatch 244/244, test error of best model 79.466667 %
epoch 410, minibatch 244/244, test error of best model 79.400000 %
epoch 415, minibatch 244/244, test error of best model 79.466667 %
epoch 420, minibatch 244/244, test error of best model 79.566667 %
epoch 425, minibatch 244/244, test error of best model 79.566667 %
epoch 430, minibatch 244/244, test error of best model 79.633333 %
epoch 435, minibatch 244/244, test error of best model 79.633333 %
epoch 440, minibatch 244/244, test error of best model 79.633333 %
epoch 445, minibatch 244/244, test error of best model 79.666667 %
epoch 450, minibatch 244/244, test error of best model 79.566667 %
epoch 455, minibatch 244/244, test error of best model 79.600000 %
epoch 460, minibatch 244/244, test error of best model 79.566667 %
epoch 465, minibatch 244/244, test error of best model 79.533333 %
epoch 470, minibatch 244/244, test error of best model 79.533333 %
epoch 475, minibatch 244/244, test error of best model 79.566667 %
epoch 480, minibatch 244/244, test error of best model 79.566667 %
epoch 485, minibatch 244/244, test error of best model 79.533333 %
epoch 490, minibatch 244/244, test error of best model 79.600000 %
epoch 495, minibatch 244/244, test error of best model 79.566667 %
epoch 500, minibatch 244/244, test error of best model 79.533333 %
epoch 505, minibatch 244/244, test error of best model 79.500000 %
epoch 510, minibatch 244/244, test error of best model 79.500000 %
epoch 515, minibatch 244/244, test error of best model 79.533333 %
epoch 520, minibatch 244/244, test error of best model 79.533333 %
epoch 525, minibatch 244/244, test error of best model 79.500000 %
epoch 530, minibatch 244/244, test error of best model 79.500000 %
epoch 535, minibatch 244/244, test error of best model 79.533333 %
epoch 540, minibatch 244/244, test error of best model 79.500000 %
epoch 545, minibatch 244/244, test error of best model 79.466667 %
epoch 550, minibatch 244/244, test error of best model 79.433333 %
epoch 555, minibatch 244/244, test error of best model 79.400000 %
epoch 560, minibatch 244/244, test error of best model 79.466667 %
epoch 565, minibatch 244/244, test error of best model 79.400000 %
epoch 570, minibatch 244/244, test error of best model 79.366667 %
epoch 575, minibatch 244/244, test error of best model 79.333333 %
epoch 580, minibatch 244/244, test error of best model 79.266667 %
epoch 585, minibatch 244/244, test error of best model 79.300000 %
epoch 590, minibatch 244/244, test error of best model 79.300000 %
epoch 595, minibatch 244/244, test error of best model 79.300000 %
epoch 600, minibatch 244/244, test error of best model 79.300000 %
epoch 605, minibatch 244/244, test error of best model 79.233333 %
epoch 610, minibatch 244/244, test error of best model 79.200000 %
epoch 615, minibatch 244/244, test error of best model 79.233333 %
epoch 620, minibatch 244/244, test error of best model 79.200000 %
epoch 625, minibatch 244/244, test error of best model 79.200000 %
epoch 630, minibatch 244/244, test error of best model 79.200000 %
epoch 635, minibatch 244/244, test error of best model 79.200000 %
epoch 640, minibatch 244/244, test error of best model 79.166667 %
epoch 645, minibatch 244/244, test error of best model 79.166667 %
epoch 650, minibatch 244/244, test error of best model 79.200000 %
epoch 655, minibatch 244/244, test error of best model 79.133333 %
epoch 660, minibatch 244/244, test error of best model 79.133333 %
epoch 665, minibatch 244/244, test error of best model 79.100000 %
epoch 670, minibatch 244/244, test error of best model 79.133333 %
epoch 675, minibatch 244/244, test error of best model 79.100000 %
epoch 680, minibatch 244/244, test error of best model 79.100000 %
epoch 685, minibatch 244/244, test error of best model 79.033333 %
epoch 690, minibatch 244/244, test error of best model 79.066667 %
epoch 695, minibatch 244/244, test error of best model 79.100000 %
