epoch 575, minibatch 110/122, test error of best model 78.966667 %
epoch 580, minibatch 33/122, test error of best model 81.866667 %
epoch 585, minibatch 34/122, test error of best model 72.033333 %
epoch 590, minibatch 121/122, test error of best model 77.466667 %
epoch 595, minibatch 26/122, test error of best model 74.133333 %
epoch 600, minibatch 48/122, test error of best model 76.733333 %
epoch 605, minibatch 101/122, test error of best model 68.700000 %
epoch 610, minibatch 86/122, test error of best model 83.933333 %
epoch 615, minibatch 100/122, test error of best model 83.900000 %
epoch 620, minibatch 68/122, test error of best model 83.066667 %
epoch 625, minibatch 113/122, test error of best model 81.300000 %
epoch 630, minibatch 43/122, test error of best model 79.200000 %
epoch 635, minibatch 91/122, test error of best model 59.733333 %
epoch 640, minibatch 93/122, test error of best model 81.833333 %
epoch 645, minibatch 19/122, test error of best model 80.466667 %
epoch 650, minibatch 43/122, test error of best model 77.766667 %
epoch 655, minibatch 116/122, test error of best model 84.133333 %
epoch 660, minibatch 89/122, test error of best model 79.933333 %
epoch 665, minibatch 110/122, test error of best model 78.266667 %
epoch 670, minibatch 97/122, test error of best model 81.800000 %
epoch 675, minibatch 88/122, test error of best model 72.800000 %
epoch 680, minibatch 38/122, test error of best model 80.966667 %
epoch 685, minibatch 8/122, test error of best model 83.733333 %
epoch 690, minibatch 105/122, test error of best model 80.566667 %
epoch 695, minibatch 115/122, test error of best model 77.300000 %
epoch 700, minibatch 119/122, test error of best model 67.366667 %
epoch 705, minibatch 114/122, test error of best model 82.500000 %
epoch 710, minibatch 111/122, test error of best model 83.533333 %
epoch 715, minibatch 105/122, test error of best model 83.866667 %
epoch 720, minibatch 37/122, test error of best model 84.166667 %
epoch 725, minibatch 20/122, test error of best model 82.933333 %
epoch 730, minibatch 74/122, test error of best model 81.433333 %
epoch 735, minibatch 104/122, test error of best model 83.733333 %
epoch 740, minibatch 12/122, test error of best model 81.666667 %
epoch 745, minibatch 87/122, test error of best model 65.933333 %
epoch 750, minibatch 4/122, test error of best model 81.666667 %
epoch 755, minibatch 18/122, test error of best model 51.100000 %
epoch 760, minibatch 34/122, test error of best model 82.433333 %
epoch 765, minibatch 68/122, test error of best model 83.800000 %
epoch 770, minibatch 113/122, test error of best model 82.766667 %
epoch 775, minibatch 62/122, test error of best model 80.600000 %
