epoch 5, minibatch 244/244, test error of best model 38.500000 %
epoch 10, minibatch 244/244, test error of best model 38.500000 %
epoch 15, minibatch 244/244, test error of best model 38.500000 %
epoch 20, minibatch 244/244, test error of best model 38.500000 %
epoch 25, minibatch 244/244, test error of best model 38.500000 %
epoch 30, minibatch 244/244, test error of best model 38.500000 %
epoch 35, minibatch 244/244, test error of best model 38.500000 %
epoch 40, minibatch 244/244, test error of best model 38.500000 %
epoch 45, minibatch 244/244, test error of best model 39.366667 %
epoch 50, minibatch 244/244, test error of best model 45.433333 %
epoch 55, minibatch 244/244, test error of best model 53.266667 %
epoch 60, minibatch 244/244, test error of best model 60.000000 %
epoch 65, minibatch 244/244, test error of best model 65.200000 %
epoch 70, minibatch 244/244, test error of best model 67.966667 %
epoch 75, minibatch 244/244, test error of best model 69.300000 %
epoch 80, minibatch 244/244, test error of best model 70.033333 %
epoch 85, minibatch 244/244, test error of best model 70.866667 %
epoch 90, minibatch 244/244, test error of best model 71.466667 %
epoch 95, minibatch 244/244, test error of best model 71.933333 %
epoch 100, minibatch 244/244, test error of best model 72.433333 %
epoch 105, minibatch 244/244, test error of best model 72.733333 %
epoch 110, minibatch 244/244, test error of best model 73.033333 %
epoch 115, minibatch 244/244, test error of best model 73.100000 %
epoch 120, minibatch 244/244, test error of best model 73.200000 %
epoch 125, minibatch 244/244, test error of best model 73.366667 %
epoch 130, minibatch 244/244, test error of best model 73.566667 %
epoch 135, minibatch 244/244, test error of best model 73.733333 %
epoch 140, minibatch 244/244, test error of best model 74.133333 %
epoch 145, minibatch 244/244, test error of best model 74.433333 %
epoch 150, minibatch 244/244, test error of best model 74.833333 %
epoch 155, minibatch 244/244, test error of best model 75.300000 %
epoch 160, minibatch 244/244, test error of best model 75.766667 %
epoch 165, minibatch 244/244, test error of best model 76.133333 %
epoch 170, minibatch 244/244, test error of best model 76.333333 %
epoch 175, minibatch 244/244, test error of best model 76.633333 %
epoch 180, minibatch 244/244, test error of best model 77.100000 %
epoch 185, minibatch 244/244, test error of best model 77.300000 %
epoch 190, minibatch 244/244, test error of best model 77.633333 %
epoch 195, minibatch 244/244, test error of best model 77.833333 %
epoch 200, minibatch 244/244, test error of best model 78.166667 %
epoch 205, minibatch 244/244, test error of best model 78.500000 %
epoch 210, minibatch 244/244, test error of best model 78.800000 %
epoch 215, minibatch 244/244, test error of best model 79.066667 %
epoch 220, minibatch 244/244, test error of best model 79.133333 %
epoch 225, minibatch 244/244, test error of best model 79.533333 %
epoch 230, minibatch 244/244, test error of best model 79.666667 %
epoch 235, minibatch 244/244, test error of best model 79.933333 %
epoch 240, minibatch 244/244, test error of best model 80.200000 %
epoch 245, minibatch 244/244, test error of best model 80.400000 %
epoch 250, minibatch 244/244, test error of best model 80.600000 %
epoch 255, minibatch 244/244, test error of best model 80.866667 %
epoch 260, minibatch 244/244, test error of best model 81.033333 %
epoch 265, minibatch 244/244, test error of best model 81.100000 %
epoch 270, minibatch 244/244, test error of best model 81.200000 %
epoch 275, minibatch 244/244, test error of best model 81.233333 %
epoch 280, minibatch 244/244, test error of best model 81.300000 %
epoch 285, minibatch 244/244, test error of best model 81.366667 %
epoch 290, minibatch 244/244, test error of best model 81.333333 %
epoch 295, minibatch 244/244, test error of best model 81.566667 %
epoch 300, minibatch 244/244, test error of best model 81.633333 %
epoch 305, minibatch 244/244, test error of best model 81.700000 %
epoch 310, minibatch 244/244, test error of best model 81.600000 %
epoch 315, minibatch 244/244, test error of best model 81.566667 %
epoch 320, minibatch 244/244, test error of best model 81.633333 %
epoch 325, minibatch 244/244, test error of best model 81.633333 %
