epoch 280, minibatch 244/244, test error of best model 77.033333 %
epoch 285, minibatch 244/244, test error of best model 77.000000 %
epoch 290, minibatch 244/244, test error of best model 77.266667 %
epoch 295, minibatch 244/244, test error of best model 77.233333 %
epoch 300, minibatch 244/244, test error of best model 77.166667 %
epoch 305, minibatch 244/244, test error of best model 77.166667 %
epoch 310, minibatch 244/244, test error of best model 77.300000 %
epoch 315, minibatch 244/244, test error of best model 77.400000 %
epoch 320, minibatch 244/244, test error of best model 77.400000 %
epoch 325, minibatch 244/244, test error of best model 77.533333 %
epoch 330, minibatch 244/244, test error of best model 77.500000 %
epoch 335, minibatch 244/244, test error of best model 77.600000 %
epoch 340, minibatch 244/244, test error of best model 77.733333 %
epoch 345, minibatch 244/244, test error of best model 77.966667 %
epoch 350, minibatch 244/244, test error of best model 78.000000 %
epoch 355, minibatch 244/244, test error of best model 78.233333 %
epoch 360, minibatch 244/244, test error of best model 78.166667 %
epoch 365, minibatch 244/244, test error of best model 78.233333 %
epoch 370, minibatch 244/244, test error of best model 78.233333 %
epoch 375, minibatch 244/244, test error of best model 78.333333 %
epoch 380, minibatch 244/244, test error of best model 78.300000 %
epoch 385, minibatch 244/244, test error of best model 78.466667 %
epoch 390, minibatch 244/244, test error of best model 78.566667 %
epoch 395, minibatch 244/244, test error of best model 78.566667 %
epoch 400, minibatch 244/244, test error of best model 78.600000 %
epoch 405, minibatch 244/244, test error of best model 78.533333 %
epoch 410, minibatch 244/244, test error of best model 78.466667 %
epoch 415, minibatch 244/244, test error of best model 78.433333 %
epoch 420, minibatch 244/244, test error of best model 78.433333 %
epoch 425, minibatch 244/244, test error of best model 78.466667 %
epoch 430, minibatch 244/244, test error of best model 78.466667 %
epoch 435, minibatch 244/244, test error of best model 78.366667 %
epoch 440, minibatch 244/244, test error of best model 78.266667 %
epoch 445, minibatch 244/244, test error of best model 78.166667 %
epoch 450, minibatch 244/244, test error of best model 78.200000 %
epoch 455, minibatch 244/244, test error of best model 78.166667 %
epoch 460, minibatch 244/244, test error of best model 78.200000 %
epoch 465, minibatch 244/244, test error of best model 78.266667 %
epoch 470, minibatch 244/244, test error of best model 78.366667 %
epoch 475, minibatch 244/244, test error of best model 78.266667 %
epoch 480, minibatch 244/244, test error of best model 78.266667 %
epoch 485, minibatch 244/244, test error of best model 78.366667 %
epoch 490, minibatch 244/244, test error of best model 78.400000 %
epoch 495, minibatch 244/244, test error of best model 78.466667 %
epoch 500, minibatch 244/244, test error of best model 78.433333 %
epoch 505, minibatch 244/244, test error of best model 78.466667 %
epoch 510, minibatch 244/244, test error of best model 78.433333 %
