epoch 5, minibatch 244/244, test error of best model 40.333333 %
epoch 10, minibatch 244/244, test error of best model 40.333333 %
epoch 15, minibatch 244/244, test error of best model 40.333333 %
epoch 20, minibatch 244/244, test error of best model 40.333333 %
epoch 25, minibatch 244/244, test error of best model 40.333333 %
epoch 30, minibatch 244/244, test error of best model 40.333333 %
epoch 35, minibatch 244/244, test error of best model 40.333333 %
epoch 40, minibatch 244/244, test error of best model 40.333333 %
epoch 45, minibatch 244/244, test error of best model 41.400000 %
epoch 50, minibatch 244/244, test error of best model 47.366667 %
epoch 55, minibatch 244/244, test error of best model 54.800000 %
epoch 60, minibatch 244/244, test error of best model 61.800000 %
epoch 65, minibatch 244/244, test error of best model 66.300000 %
epoch 70, minibatch 244/244, test error of best model 68.833333 %
epoch 75, minibatch 244/244, test error of best model 70.433333 %
epoch 80, minibatch 244/244, test error of best model 71.366667 %
epoch 85, minibatch 244/244, test error of best model 72.433333 %
epoch 90, minibatch 244/244, test error of best model 73.033333 %
epoch 95, minibatch 244/244, test error of best model 73.366667 %
epoch 100, minibatch 244/244, test error of best model 73.566667 %
epoch 105, minibatch 244/244, test error of best model 73.800000 %
epoch 110, minibatch 244/244, test error of best model 74.000000 %
epoch 115, minibatch 244/244, test error of best model 74.133333 %
epoch 120, minibatch 244/244, test error of best model 74.300000 %
epoch 125, minibatch 244/244, test error of best model 74.366667 %
epoch 130, minibatch 244/244, test error of best model 74.400000 %
epoch 135, minibatch 244/244, test error of best model 74.466667 %
epoch 140, minibatch 244/244, test error of best model 74.633333 %
epoch 145, minibatch 244/244, test error of best model 74.866667 %
epoch 150, minibatch 244/244, test error of best model 75.233333 %
epoch 155, minibatch 244/244, test error of best model 75.833333 %
epoch 160, minibatch 244/244, test error of best model 76.500000 %
epoch 165, minibatch 244/244, test error of best model 76.900000 %
epoch 170, minibatch 244/244, test error of best model 77.300000 %
epoch 175, minibatch 244/244, test error of best model 77.766667 %
epoch 180, minibatch 244/244, test error of best model 78.200000 %
epoch 185, minibatch 244/244, test error of best model 78.633333 %
epoch 190, minibatch 244/244, test error of best model 79.100000 %
epoch 195, minibatch 244/244, test error of best model 79.400000 %
epoch 200, minibatch 244/244, test error of best model 79.566667 %
epoch 205, minibatch 244/244, test error of best model 79.733333 %
epoch 210, minibatch 244/244, test error of best model 79.833333 %
epoch 215, minibatch 244/244, test error of best model 80.033333 %
epoch 220, minibatch 244/244, test error of best model 80.333333 %
epoch 225, minibatch 244/244, test error of best model 80.600000 %
epoch 230, minibatch 244/244, test error of best model 80.933333 %
epoch 235, minibatch 244/244, test error of best model 81.000000 %
epoch 240, minibatch 244/244, test error of best model 81.166667 %
epoch 245, minibatch 244/244, test error of best model 81.400000 %
epoch 250, minibatch 244/244, test error of best model 81.766667 %
epoch 255, minibatch 244/244, test error of best model 82.033333 %
epoch 260, minibatch 244/244, test error of best model 82.033333 %
epoch 265, minibatch 244/244, test error of best model 82.200000 %
epoch 270, minibatch 244/244, test error of best model 82.266667 %
epoch 275, minibatch 244/244, test error of best model 82.300000 %
epoch 280, minibatch 244/244, test error of best model 82.533333 %
epoch 285, minibatch 244/244, test error of best model 82.600000 %
epoch 290, minibatch 244/244, test error of best model 82.666667 %
epoch 295, minibatch 244/244, test error of best model 82.733333 %
epoch 300, minibatch 244/244, test error of best model 82.800000 %
epoch 305, minibatch 244/244, test error of best model 82.766667 %
epoch 310, minibatch 244/244, test error of best model 82.766667 %
epoch 315, minibatch 244/244, test error of best model 82.833333 %
epoch 320, minibatch 244/244, test error of best model 82.966667 %
epoch 325, minibatch 244/244, test error of best model 82.966667 %
epoch 330, minibatch 244/244, test error of best model 83.100000 %
epoch 335, minibatch 244/244, test error of best model 83.033333 %
epoch 340, minibatch 244/244, test error of best model 83.066667 %
epoch 345, minibatch 244/244, test error of best model 83.033333 %
